d_purpose,max_roll,min_roll,top_roll,chamber_purpose
Stronghold,86,79,100, Storage for mundane goods and supplies
Stronghold,87,87,100,Strong room or vault for protecting important treasures
Stronghold,92,88,100," Study, including a writing desk "
Stronghold,93,93,100,"Throne room, elaborately decorated"
Stronghold,96,94,100,Waiting room where lesser guests are held before receiving an audience
Stronghold,98,97,100,Latrine or bath
Stronghold,100,99,100,Crypt belonging to the stronghold's master or someone else of importance
Temple,3,1,100,"Armory filled with weapons and armor, battle banners, and pennants"
Temple,5,4,100,Audience chamber where priests of the temple recei ve commoners and low-ranking visitors
Temple,7,6,100,Banquet room used for celebrations and holy days
Temple,10,8,100,Barracks for the temple's military arm or its hired guards
Temple,14,11,100,Cells where the faithful can sit in quiet contemplation
Temple,24,15,100,Central temple built to accommodate rituals
Temple,28,25,100,Chapel dedicated to a lesser deity associated with the temple's major deity
Temple,31,29,100,Classroom used to train initiates and priests
Temple,34,32,100,"Conjuring room , specially sanctified and used to summon extraplanar creatures"
Temple,40,35,100,"Crypt for a high priest or similar figure, hidden and heavily guarded by creatures and traps"
Temple,42,41,100,Dining room for the temple's servants and lesser priests
Temple,43,43,100,Dining room for the temple's high priests
Temple,46,44,100,"Divination room , inscribed with runes and stocked with soothsaying implements "
Temple,50,47,100,Dormitory for lesser priests or students
Temple,56,51,100,Guardroom
Temple,57,57,100,Kennel for animals or monsters associated with the temple's deity
Temple,60,58,100,Kitchen (might bear a disturbing resemblance to a torture chamber in an evil temple)
Temple,65,61,100,"Library, well stocked with religious treatises"
Temple,68,66,100,Prison for captured enemies (in good or neutral temples) or those designated as sacrifices (in evil temples)
Temple,73,69,100,Robing room containing ceremonial outfits and items
Temple,74,74,100,"Stable for riding horses and mounts belonging to the temple, or for visiting messengers and caravans "
Temple,79,75,100,Storage holding mundane supplies
Temple,80,80,100,"Strong room or vault holding important relics and ceremonial items, heavily trapped "
Temple,82,81,100,"Torture chamber, used in inquisitions (in good or neutral temples with a lawful bent) or for the sheer joy of causing pain (evil temples) "
Temple,89,83,100,Trophy room where art celebrating key figures and events from mythology is displayed
Temple,90,90,100,Latrine or bath
Temple,94,91,100,"Well for drinking water, defendable in the case of attack or siege"
Temple,100,95,100,"Workshop for repairing or creating weapons, religious items, and tools"
Tomb,1,1,20,Antechamber for those that have come to pay respect to the dead or prepare themselves for burial rituals
Tomb,3,2,20,Chapel dedicated to deities that watch over the dead and protect their resting places
Tomb,8,4,20,Crypt for less important burials
Tomb,9,9,20,"Divination room, used in rituals to contact the dead for guidance "
Tomb,10,10,20,False crypt (trapped) to kill or capture thieves
Tomb,11,11,20,"Gallery to display the deeds of the deceased through trophies, statues, paintings and so forth"
Tomb,12,12,20,"Grand crypt for a noble, high priest, or other important individual"
Tomb,14,13,20,"Guardroom, usually guarded by undead, constructs, or other creatures that don't need to eat or sleep"
Tomb,15,15,20,Robing room for priests to prepare for burial rituals
Tomb,17,16,20,"Storage, stocked with tools for maintaining the tomb and preparing the dead for burial "
Tomb,18,18,20,"Tomb where the wealthiest and most important folk are interred , protected by secret doors and traps "
Tomb,20,19,20,Workshop for embalming the dead
Treasure Vault,1,1,20,Antechamber for visiting dignitaries
Treasure Vault,2,2,20,Armory contain ing mundane and magic gear used by the treasure vault's guards
Treasure Vault,4,3,20,Barracks for guards
Treasure Vault,5,5,20,Cistern providing fresh water
Treasure Vault,9,6,20,Guardroom to defend against intruders
Treasure Vault,10,10,20,Kennel for trained beasts used to guard the treasure vault
Treasure Vault,11,11,20,Kitchen for feeding guards
Treasure Vault,12,12,20,Watch room that allows guards to observe those who approach the dungeon
Treasure Vault,13,13,20,Prison for holding captured intruders
Treasure Vault,15,14,20,"Strong room or vault, for guarding the treasure hidden in the dungeon, accessible only by locked or secret door"
Treasure Vault,16,16,20,Torture chamber for extracting information from captured intruders
Treasure Vault,20,17,20,Trap or other trick designed to kill or capture creatures that enter the dungeor
